timestamp,elapsed_min,rss_mb,offheap_reserved_mb,offheap_slots,entries,hits,misses,stale_hits,ttl_evictions,lru_evictions,write_rejections,herd_suppressed,refreshes_in_flight,memory_ratio,l1_entries,ops_total,errors
2026-09-18T05:13:57+00:00,0.5,458.6,349.4,3934,3932,3651,6287,0,0,0,0,0,0,0.7668,1,20487,0
2026-09-18T05:14:28+00:00,1.01,573.8,465.6,5194,5194,9991,8490,11,285,0,0,0,0,0.7603,1,38061,0
2026-09-18T05:15:00+00:00,1.54,563.8,440.4,4959,4958,16759,10088,121,1663,0,0,0,1,0.7703,1,55103,0
2026-09-18T05:15:32+00:00,2.07,561.6,441.6,4851,4851,22633,11695,194,2929,0,0,0,0,0.7381,1,70787,0
2026-09-18T05:16:04+00:00,2.61,554.1,428.7,4810,4810,28752,13582,277,4269,0,0,0,0,0.7387,1,87677,0
2026-09-18T05:16:35+00:00,3.13,568.7,439.3,4950,4948,34908,15360,357,5426,0,0,0,0,0.7315,1,104189,0
2026-09-18T05:17:07+00:00,3.67,583.0,437.9,4933,4933,41310,17073,426,6700,0,0,0,1,0.7425,1,121095,0
2026-09-18T05:23:29+00:00,10.02,187.9,429.7,4889,4889,41733,17264,435,6834,0,0,0,0,0.74,1,122295,0
2026-09-18T05:51:32+00:00,38.07,242.1,85.9,872,872,41850,18530,435,11641,0,0,0,0,0.7259,1,125167,0
2026-09-18T05:52:08+00:00,38.68,496.1,333.5,3654,3652,44877,24162,435,12477,0,0,0,0,0.8294,1,142919,0
2026-09-18T05:52:43+00:00,39.27,391.4,125.2,1240,1240,47957,28831,445,12554,3510,4139,0,0,0.8206,1,159028,0
2026-09-18T05:53:16+00:00,39.81,353.8,126.0,1150,1149,49936,35557,499,12691,5340,8058,0,0,0.8478,1,175660,0
2026-09-18T05:53:48+00:00,40.34,323.9,78.8,637,638,51346,43154,504,12705,7056,14368,0,0,0.8468,1,194322,0
2026-09-18T05:54:20+00:00,40.87,583.7,338.6,3530,3530,54245,49062,513,12715,7268,15515,0,1,0.8264,1,212797,0
2026-09-18T05:54:51+00:00,41.4,694.2,450.3,5014,5012,60575,51673,528,12989,7268,15515,0,1,0.8262,1,231444,0
2026-09-18T05:55:23+00:00,41.92,725.2,468.2,5228,5227,69054,53430,613,14074,7268,15515,0,0,0.8212,1,252275,0
2026-09-18T05:55:54+00:00,42.45,720.6,457.6,5469,5468,77787,55241,706,15161,7268,15515,0,0,0.8223,1,274057,0
2026-09-18T05:56:26+00:00,42.97,717.1,466.2,5394,5393,86080,56749,804,16346,7268,15515,0,1,0.8194,1,294528,0
2026-09-18T05:56:57+00:00,43.5,718.3,463.5,5268,5268,93835,58255,869,17574,7268,15515,0,0,0.811,1,313709,0
2026-09-18T05:57:29+00:00,44.03,716.8,458.3,5369,5369,103000,60112,968,18800,7268,15515,0,0,0.8058,1,336724,0
2026-09-18T05:58:00+00:00,44.55,747.7,493.3,5516,5516,112393,61722,1042,19863,7268,15515,0,0,0.8169,1,359494,0
2026-09-18T05:58:32+00:00,45.07,739.7,472.6,5349,5349,120124,63108,1108,21087,7268,15515,0,0,0.8134,1,378614,0
2026-09-18T05:59:03+00:00,45.6,694.6,449.8,5225,5225,128559,64717,1188,22366,7268,15515,0,0,0.8168,1,399124,0
2026-09-18T05:59:35+00:00,46.13,719.0,472.2,5335,5334,137312,66474,1278,23521,7268,15515,0,0,0.8086,1,420930,0
2026-09-18T06:00:07+00:00,46.66,723.7,473.6,5441,5440,146163,68138,1365,24608,7268,15515,0,0,0.8089,1,442565,0
2026-09-18T06:00:38+00:00,47.18,736.4,475.8,5541,5541,155862,69815,1446,25767,7268,15515,0,0,0.8091,1,466244,0
2026-09-18T06:01:09+00:00,47.7,729.8,468.3,5410,5409,163626,71171,1510,26914,7268,15515,0,2,0.806,1,485092,0
2026-09-18T06:01:41+00:00,48.22,702.4,452.0,5295,5295,172009,72751,1608,28190,7268,15515,0,0,0.8039,1,505951,0
2026-09-18T06:02:12+00:00,48.75,715.7,454.7,5452,5452,181198,74422,1679,29330,7268,15515,0,1,0.8059,1,528773,0
2026-09-18T06:02:43+00:00,49.27,720.4,466.0,5398,5397,188942,75792,1752,30400,7268,15515,0,0,0.8236,1,547649,0
2026-09-18T06:03:15+00:00,49.79,719.7,464.4,5275,5275,197387,77442,1864,31773,7268,15515,0,0,0.796,1,568614,0
2026-09-18T06:03:46+00:00,50.31,733.6,473.6,5546,5544,206836,79161,1925,32837,7268,15515,0,0,0.809,1,591854,0
2026-09-18T06:04:35+00:00,51.13,649.3,457.1,5437,5437,213756,80294,1969,33816,7268,15515,0,0,0.809,0,608521,0
2026-09-18T06:11:31+00:00,58.06,296.9,384.0,4229,4229,214751,80792,2000,35284,7268,15515,0,0,0.8065,1,611582,0
2026-09-18T06:12:05+00:00,58.63,625.1,387.5,4209,4209,218909,87337,2000,39489,7268,15515,0,1,0.8364,1,633985,0
2026-09-18T06:12:37+00:00,59.15,710.5,466.2,5219,5218,226425,89567,2016,39941,7268,15515,0,0,0.8275,1,654252,0
2026-09-18T06:13:08+00:00,59.69,712.2,471.0,5265,5265,234585,91344,2118,41172,7268,15515,0,0,0.8221,1,674830,0
2026-09-18T06:13:40+00:00,60.21,728.9,483.2,5438,5438,243255,93039,2195,42265,7268,15515,0,0,0.8237,1,696428,0
2026-09-18T06:14:11+00:00,60.73,705.5,459.8,5190,5189,250339,94331,2260,43473,7268,15515,0,0,0.8269,1,714017,0
2026-09-18T06:14:43+00:00,61.26,717.3,468.9,5202,5202,258486,96129,2346,44750,7268,15515,0,1,0.8312,1,734589,0
2026-09-18T06:15:14+00:00,61.78,714.0,464.2,5299,5298,266460,97704,2413,45811,7268,15515,0,0,0.828,1,754397,0
2026-09-18T06:15:46+00:00,62.3,718.4,462.6,5342,5341,275638,99434,2504,47031,7268,15515,0,0,0.822,1,776890,0
2026-09-18T06:16:17+00:00,62.83,678.2,462.1,5225,5224,282972,100777,2583,48179,7268,15515,0,0,0.8392,1,794802,0
2026-09-18T06:16:50+00:00,63.37,383.2,130.3,1346,1346,284774,105575,2599,48523,11846,19639,0,1,0.8463,1,808436,0
2026-09-18T06:17:22+00:00,63.9,633.2,398.8,4443,4443,290009,110578,2613,48662,11846,19639,0,2,0.8492,1,829795,0
2026-09-18T06:17:53+00:00,64.43,314.0,72.1,717,717,294426,115399,2694,48750,16121,24348,0,2,0.8309,0,846558,0
